Name/Flüssigkeiten;Cognac;Gin;Orangensaft;Zitronensaft;Rum;Wasser mit Kohlensäure;Wodka;Blue Curacao;Zuckersirup;Ananassaft;Cointreau;Grenadine(Sirup);Benedictine(Likör);Calvados;Apricot Brandy Likör;Cachaca;Kirschlikör;Dunkler Rum;Angostura;Kakaolikör;Sahne;Bitter Lemon;Limonade;Tequila;Ginger Ale;Limettensirup;Honig;Aperol;Tomatensaft;Worcestersauce;Tabasco;Brauner Rum;Minzlikör;Pfirsichlikör;Heißer Kakao;Heißer Kaffee;Kiwilikör;Batida de coco;Maracujasaft;Kaffee kalt;Cola;Heißer schwarzer Tee;Chambord(Likör);Limettensaft;Cranberrysaft;Creme de cassis(Likör);Grapefruitsaft;Tonic water;Trockener Wermut;Galliano;Cream of coconut;Maracujasirup;Heißes Wasser;Whiskey;Pisang Ambon;Triple Sec Curacao;Amarula wild fruit cream;Süßer Vermouth;Mandelsirup;Heiße Milch;Maraschino;Amaretto;Roter Wermut;Campari;Bananenlikör;Creme de bananes;Kahlua;Espresso
Mary Pickford;;;;;3cl;;;;;3cl;;1cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1cl;;;;;;;
Numero Uno;;;;;;;;;;;;;;;;;;;;;5cl;;;3cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3cl;;;;;;
Negroni;;2cl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2cl;2;;;;
Old Fashioned;;;;;;2cl;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
Orange Punch;4;;5;0.5;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paradise;;4;4;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pink Flamingo;;3;4;;;;;;;4;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
Pink Rose Fizz;;4;;2;;6;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pink Colada;;;6;;5;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;6;;;;2;;;;;;;;;;;;;;;;;
Pink Pussycat;;;;;;;4;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;
Piña Colada;;;;;6cl;;;;;10;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;
Planters Punch;;;5;1;3;;;;;5;;1;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pisang Garuda;;;;;4;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
Pisang Cooler;;;12;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;
Rusty Nail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweet Girl;;3;;;;;;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
